threshold,precision,recall,f1,cost,TP,FP,FN,TN,f_beta_0.5,f_beta_1.0,f_beta_2.0
0.5160321285140562,0.8073229291716687,0.26372549019607844,0.39757611587348507,4076.0,1345,321,3755,142214,0.5716592995579736,0.39757611587348507,0.3047675156349135
0.5180361445783133,0.8094089264173703,0.26313725490196077,0.39715892275821246,4074.0,1342,316,3758,142219,0.5719399931810433,0.39715892275821246,0.30419802339287333
0.5200401606425703,0.8115151515151515,0.26254901960784316,0.3967407407407407,4072.0,1339,311,3761,142224,0.5722222222222222,0.3967407407407407,0.3036281179138322
0.5220441767068273,0.8122721749696233,0.26215686274509803,0.39638304180254963,4072.0,1337,309,3763,142226,0.5721499486477233,0.39638304180254963,0.30322961081375305
0.5240481927710843,0.8145210494203783,0.26176470588235295,0.3962012167977445,4069.0,1335,304,3765,142231,0.5726664378860672,0.3962012167977445,0.3028721811334453
0.5260522088353413,0.8167797655768044,0.2596078431372549,0.3939889897336705,4073.0,1324,297,3776,142238,0.5714779005524863,0.3939889897336705,0.3006221334181009
0.5280562248995984,0.817783343769568,0.25607843137254904,0.3900253845005226,4085.0,1306,291,3794,142244,0.5684192200557103,0.3900253845005226,0.2968586625448925
0.5300602409638554,0.8181818181818182,0.25588235294117645,0.3898431665421956,4085.0,1305,290,3795,142245,0.5683797909407664,0.3898431665421956,0.29665833143896336
0.5320642570281124,0.819496855345912,0.2554901960784314,0.38953662182361737,4084.0,1303,287,3797,142248,0.568499127399651,0.38953662182361737,0.2962710322874034
0.5340682730923695,0.820952380952381,0.2535294117647059,0.38741573033707866,4089.0,1293,282,3807,142253,0.5671052631578948,0.38741573033707866,0.29419795221843004
0.5360722891566265,0.8207247298156389,0.25313725490196076,0.3869324142065038,4091.0,1291,282,3809,142253,0.5666257022471909,0.3869324142065038,0.2937696263596231
0.5380763052208836,0.8314150304671631,0.2407843137254902,0.3734225330697886,4121.0,1228,249,3872,142286,0.5577761627906976,0.3734225330697886,0.28066005393792565
0.5400803212851405,0.8311864406779661,0.2403921568627451,0.37292775665399236,4123.0,1226,249,3874,142286,0.5572727272727273,0.37292775665399236,0.28022857142857144
0.5420843373493975,0.830716723549488,0.23862745098039215,0.3707539984767707,4131.0,1217,248,3883,142287,0.5552007299270073,0.3707539984767707,0.27829865081179966
0.5440883534136546,0.8304853041695147,0.23823529411764705,0.37025750419015696,4133.0,1215,248,3885,142287,0.5546932067202337,0.37025750419015696,0.2778667154553354
0.5460923694779116,0.8303693570451436,0.2380392156862745,0.37000914355379455,4134.0,1214,248,3886,142287,0.5544391669711363,0.37000914355379455,0.2776507181410667
0.5480963855421687,0.8311599176389842,0.23745098039215687,0.36937623913375023,4135.0,1211,246,3889,142289,0.5540812591508053,0.36937623913375023,0.27702795443107475
0.5501004016064257,0.8310439560439561,0.2372549019607843,0.3691275167785235,4136.0,1210,246,3890,142289,0.5538264372024899,0.3691275167785235,0.276811859443631
